PARAMETER,YEAR,LAT,LON,ANN-Wind
WS2M,2016,-13,35.625,1.98
WS2M,2016,-13.5,33.125,2.68
WS2M,2016,-13.5,33.75,2.6
WS2M,2016,-13.5,34.375,3.68
WS2M,2016,-13.5,35,3.5
WS2M,2016,-13.5,35.625,2.3
WS2M,2016,-14,33.125,2.48
WS2M,2016,-14,33.75,2.43
WS2M,2016,-14,34.375,2.65
WS2M,2016,-14,35,3.74
WS2M,2016,-14,35.625,2.49
WS2M,2016,-14.5,33.125,2.45
WS2M,2016,-14.5,33.75,2.45
WS2M,2016,-14.5,34.375,1.59
WS2M,2016,-14.5,35,2.54
WS2M,2016,-14.5,35.625,2.58
WS2M,2016,-15,33.125,2.68
WS2M,2016,-15,33.75,2.45
WS2M,2016,-15,34.375,2.32
WS2M,2016,-15,35,2.09
WS2M,2016,-15,35.625,2.95
WS2M,2016,-15.5,33.125,2.84
WS2M,2016,-15.5,33.75,2.52
WS2M,2016,-15.5,34.375,2.49
WS2M,2016,-15.5,35,2.07
WS2M,2016,-15.5,35.625,2.55
WS2M,2016,-16,33.125,2.94
WS2M,2016,-16,33.75,2.8
WS2M,2016,-16,34.375,2.6
WS2M,2016,-16,35,2.15
WS2M,2016,-16,35.625,1.84
WS2M,2016,-16.5,33.125,3.03
WS2M,2016,-16.5,33.75,3.08
WS2M,2016,-16.5,34.375,2.81
WS2M,2016,-16.5,35,2.42
WS2M,2016,-16.5,35.625,2.27
WS2M,2016,-17,33.125,3.02
WS2M,2016,-17,33.75,3.23
WS2M,2016,-17,34.375,2.9
WS2M,2016,-17,35,2.61
WS2M,2016,-17,35.625,2.78
WS2M,2016,-9.5,33.125,2.34
WS2M,2016,-9.5,33.75,1.07
WS2M,2016,-9.5,34.375,1.71
WS2M,2016,-9.5,35,0.8
WS2M,2016,-9.5,35.625,0.06
WS2M,2017,-10,33.125,2.19
WS2M,2017,-10,33.75,2.46
WS2M,2017,-10,34.375,4.04
WS2M,2017,-10,35,1.17
WS2M,2017,-10,35.625,0.89
WS2M,2017,-10.5,33.125,2.05
WS2M,2017,-10.5,33.75,2
WS2M,2017,-10.5,34.375,3.71
WS2M,2017,-10.5,35,2.43
WS2M,2017,-10.5,35.625,2.29
WS2M,2017,-11,33.125,2.31
WS2M,2017,-11,33.75,2.59
WS2M,2017,-11,34.375,3.77
WS2M,2017,-11,35,2.98
WS2M,2017,-11,35.625,1.23
WS2M,2017,-11.5,33.125,2.68
WS2M,2017,-11.5,33.75,2.32
WS2M,2017,-11.5,34.375,3.79
WS2M,2017,-11.5,35,3.11
WS2M,2017,-11.5,35.625,2.14
WS2M,2017,-12,33.125,2.93
WS2M,2017,-12,33.75,1.71
WS2M,2017,-12,34.375,3.89
WS2M,2017,-12,35,2.97
WS2M,2017,-12,35.625,2.31
WS2M,2017,-12.5,33.125,2.99
WS2M,2017,-12.5,33.75,2.03
WS2M,2017,-12.5,34.375,4.12
WS2M,2017,-12.5,35,3.1
WS2M,2017,-12.5,35.625,2.16
WS2M,2017,-13,33.125,2.83
WS2M,2017,-13,33.75,2.42
WS2M,2017,-13,34.375,4.04
WS2M,2017,-13,35,3.42
WS2M,2017,-13,35.625,1.98
WS2M,2017,-13.5,33.125,2.62
WS2M,2017,-13.5,33.75,2.63
WS2M,2017,-13.5,34.375,4
WS2M,2017,-13.5,35,3.63
WS2M,2017,-13.5,35.625,2.24
WS2M,2017,-14,33.125,2.34
WS2M,2017,-14,33.75,2.38
WS2M,2017,-14,34.375,2.77
WS2M,2017,-14,35,3.81
WS2M,2017,-14,35.625,2.41
WS2M,2017,-14.5,33.125,2.28
WS2M,2017,-14.5,33.75,2.37
WS2M,2017,-14.5,34.375,1.58
WS2M,2017,-14.5,35,2.56
WS2M,2017,-14.5,35.625,2.56
WS2M,2017,-15,33.125,2.56
WS2M,2017,-15,33.75,2.35
WS2M,2017,-15,34.375,2.24
WS2M,2017,-15,35,2.05
WS2M,2017,-15,35.625,2.98
WS2M,2017,-15.5,33.125,2.76
